macro micro send RVE receive assemble solve total
4 512 0.0879194 611.912 0.364739 54.3223 6187.05 6921.05 
4 1024 0.10632 310.989 0.350853 54.232 6187.17 6592.15 
4 2048 0.148466 152.895 0.424254 54.3041 6187.64 6426.49 
4 4096 0.295778 74.6513 0.569091 54.2897 6187.72 6343.01 
4 7680 0.725449 40.947 1.00034 54.3136 6186.87 6309.39 
8 2048 0.120136 167.477 0.262684 27.7287 3341.75 3547.02 
8 4096 0.257539 83.2823 0.394461 27.7459 3341.73 3463.15 
8 7680 0.666744 45.423 0.811521 27.6948 3341.84 3427.77 
8 15872 2.57737 23.8068 2.71937 27.7489 3341.8 3417.79 
16 512 0.0578127 660.454 0.127868 13.9952 1788 2471.33 
16 1024 0.0676817 332.525 0.150492 13.9944 1788.35 2141.92 
16 2048 0.105862 167.415 0.182243 14.0195 1787.88 1975.73  
16 4096 0.246336 83.9281 0.309187 14.0389 1787.99 1892.13 
16 7680 0.642793 45.5837 0.718452 14.0116 1787.87 1856.49 
16 15872 2.52661 24.3113 2.60829 14.0039 1787.99 1846.51 
32 512 0.047955 661.164 0.0788542 6.4569 1076.93 1750.33
32 1024 0.0563877 332.477 0.095068 6.47713 1076.87 1421.15 
32 2048 0.0980382 168.09 0.135906 6.47032 1076.83 1255.27 
32 4096 0.238089 83.0766 0.262607 6.47095 1076.74 1171.38 
32 7680 0.630119 45.7151 0.666365 6.4737 1076.76 1135.89 
64 512 0.0410287 661.553 0.0623943 3.50187 630.597 1301.35 
64 4096 0.222854 83.6202 0.241769 3.50049 630.478 721.256 
64 7680 0.622588 45.2205 0.646472 3.50097 630.449 685.842 



