macro micro send RVE receive assemble solve total
2 30 0.0329269 989.153 0.0777936 9.36299 84.067 1117.95 
2 62 0.0342099 472.316 0.0791904 9.37478 84.0564 591.065 
2 126 0.0356695 229.389 0.0789359 9.37121 84.0471 356.213 
2 254 0.0389293 110.047 0.0819018 9.36677 84.0505 239.477 
2 510 0.0456527 56.4735 0.0919569 9.37965 84.0387 188.35 
2 1022 0.062967 27.047 0.108197 9.34704 84.0998 145.112
2 2046 0.0991005 13.9379 0.140129 9.35729 84.0686 116.233
2 4094 0.196107 7.13271 0.224718 9.37327 84.0534 110.415
2 8190 0.510475 4.19038 0.510599 9.3616 84.081 104.777



